Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,69.471367,69.830078,69.225929,69.748268,64.099724,4353200
2017-01-04,70.144745,70.295784,69.590935,69.792320,64.140182,4912200
2017-01-05,69.962242,70.446823,69.578354,70.075516,64.400452,5315000
2017-01-06,70.119576,71.006920,69.893013,70.830711,65.094505,4166300
2017-01-09,70.925110,70.925110,70.025169,70.169922,64.487213,3867700
2017-01-10,70.327248,70.377594,69.893013,70.018883,64.348419,2860800
2017-01-11,70.245438,70.245438,69.590935,69.855255,64.198051,4363700
2017-01-12,69.943359,69.943359,69.043427,69.741974,64.093918,4202200
2017-01-13,69.811203,70.018883,69.131531,69.364380,63.746906,4577200
2017-01-17,69.087479,69.395844,68.848335,69.207047,63.602333,3559500
2017-01-18,69.351791,69.786026,69.112648,69.490242,63.862572,4131800
2017-01-19,69.874138,70.232849,69.238518,69.685333,64.041870,4494000
2017-01-20,69.823792,69.918190,69.244804,69.723099,64.076569,4980400
2017-01-23,69.754562,70.044052,69.213341,69.439896,63.816311,3649200
2017-01-24,69.653870,70.289490,69.439896,70.239143,64.550850,5148300
2017-01-25,70.402771,70.805534,68.458153,69.830078,64.174881,8030800
2017-01-26,69.729393,70.163628,68.930145,69.452484,63.827888,6349600
2017-01-27,69.320328,69.792320,68.980492,69.037132,63.446175,4496800
2017-01-30,68.791695,68.974197,68.124603,68.703590,63.139626,4623800
2017-01-31,68.621773,69.106354,68.212715,69.018250,63.428814,6269700
2017-02-01,68.993080,69.169289,67.904343,68.080551,62.567059,7420700
2017-02-02,68.017624,68.395218,67.243553,68.193832,62.671154,7491300
2017-02-03,68.300819,69.087479,68.281937,69.005661,63.417240,5420300
2017-02-06,69.106354,70.012589,69.024544,69.653870,64.012955,6720800
2017-02-07,70.094398,70.314667,69.836372,70.012589,64.342628,4408500
2017-02-08,69.911896,69.911896,69.446190,69.477661,63.851017,3292800
2017-02-09,69.477661,69.679047,69.225929,69.282570,63.671730,4217200
2017-02-10,69.383263,70.018883,69.276276,69.886719,64.226967,4257200
2017-02-13,70.239143,70.547516,70.119576,70.497169,64.787971,4498100
2017-02-14,70.478287,70.685966,70.138451,70.213974,64.527702,4404500
2017-02-15,69.937065,70.534927,69.893013,70.427940,65.109505,4171100
2017-02-16,70.572685,70.692261,70.365013,70.528633,65.202599,4452500
2017-02-17,70.440529,70.692261,70.239143,70.578979,65.249130,4023000
2017-02-21,70.604156,70.988045,70.509758,70.799248,65.452774,3395500
2017-02-22,70.704849,70.931404,70.308372,70.899940,65.545876,3504600
2017-02-23,70.925110,71.038391,70.465698,70.541222,65.214233,5516500
